Xw_pct,T_K,eta_Pas,source
76,295,2.81e-03,telisromero2001_Table1
76,307,2.16e-03,telisromero2001_Table1
76,323,1.61e-03,telisromero2001_Table1
76,337,1.30e-03,telisromero2001_Table1
76,351,1.21e-03,telisromero2001_Table1
76,365,9.10e-04,telisromero2001_Table1
82,295,1.81e-03,telisromero2001_Table1
82,307,1.39e-03,telisromero2001_Table1
82,323,1.04e-03,telisromero2001_Table1
82,337,8.30e-04,telisromero2001_Table1
82,351,6.90e-04,telisromero2001_Table1
82,365,5.80e-04,telisromero2001_Table1
86,295,1.35e-03,telisromero2001_Table1
86,307,1.04e-03,telisromero2001_Table1
86,323,7.70e-04,telisromero2001_Table1
86,337,6.10e-04,telisromero2001_Table1
86,351,5.10e-04,telisromero2001_Table1
86,365,4.40e-04,telisromero2001_Table1
90,295,1.00e-03,telisromero2001_Table1
90,307,7.70e-04,telisromero2001_Table1
90,323,5.80e-04,telisromero2001_Table1
90,337,4.60e-04,telisromero2001_Table1
90,351,3.80e-04,telisromero2001_Table1
90,365,3.20e-04,telisromero2001_Table1
