series,extraction_time_s,extraction_pct,pixel_x,pixel_y,blob_area_px,markers_in_blob,note
1g_fines,11.81,17.576,298.6,806.7,368,3,cluster split k=3
1g_fines,11.82,17.424,298.7,822.3,368,3,cluster split k=3
1g_fines,12.44,17.533,306.3,811.1,368,3,cluster split k=3
1g_fines,22.46,18.999,429.5,660.6,135,1,
1g_fines,23.86,19.02,446.7,658.5,136,1,
1g_fines,25.97,19.301,472.5,629.7,133,1,
1g_fines,34.99,19.536,583.4,605.5,131,1,
1g_fines,37.04,20.151,608.6,542.4,136,1,
1g_fines,38.68,19.946,628.7,563.4,133,1,
1g_fines,39.73,20.588,641.6,497.5,129,1,
2g_fines,16.85,18.743,360.5,686.9,241,2,cluster split k=2
2g_fines,17.47,18.796,368.2,681.5,241,2,cluster split k=2
2g_fines,18.24,19.362,377.5,623.4,144,1,
2g_fines,31.04,19.673,534.8,591.5,142,1,
2g_fines,33.17,19.707,561.0,588.0,115,1,
2g_fines,34.52,20.183,577.6,539.1,141,1,
2g_fines,51.59,19.925,787.3,565.6,143,1,
2g_fines,55.35,20.242,833.5,533.1,116,1,
2g_fines,62.91,20.706,926.4,485.5,145,1,
4g_fines,29.77,19.722,519.2,586.5,106,1,
4g_fines,32.96,19.798,558.4,578.7,114,1,
4g_fines,33.41,19.47,564.0,612.3,102,1,
4g_fines,54.86,19.874,827.5,570.8,104,1,
4g_fines,59.97,20.756,890.3,480.3,107,1,
4g_fines,60.64,21.313,898.5,423.1,104,1,
4g_fines,79.52,21.267,1130.4,427.9,104,1,
no_added_fines,8.24,16.769,254.7,889.6,406,3,cluster split k=3
no_added_fines,9.01,16.813,264.2,885.0,406,3,cluster split k=3
no_added_fines,9.18,16.408,266.3,926.6,147,1,
no_added_fines,9.28,16.691,267.6,897.6,406,3,cluster split k=3
no_added_fines,17.31,18.674,366.1,694.0,65,1,partially occluded
no_added_fines,19.55,18.865,393.7,674.4,149,1,
no_added_fines,19.67,19.313,395.2,628.5,145,1,
no_added_fines,22.63,19.291,431.5,630.7,261,2,cluster split k=2
no_added_fines,23.34,19.347,440.3,624.9,261,2,cluster split k=2
no_added_fines,26.68,19.799,481.2,578.6,146,1,
no_added_fines,28.35,19.716,501.8,587.0,145,1,
no_added_fines,42.89,20.965,680.5,458.8,145,1,
no_added_fines,45.58,20.91,713.4,464.5,281,2,cluster split k=2
no_added_fines,45.96,20.804,718.1,475.3,281,2,cluster split k=2
no_added_fines,55.49,20.354,835.2,521.6,145,1,
no_added_fines,57.59,21.166,861.0,438.2,145,1,
no_added_fines,58.54,20.453,872.6,511.4,148,1,
no_added_fines,62.66,20.201,923.3,537.3,147,1,
no_added_fines,67.75,20.845,985.8,471.2,148,1,
no_added_fines,68.07,21.291,989.7,425.3,147,1,
