extraction_time_s,sensory_score_fit
9.94,2.1
10.238,2.122
10.536,2.15
10.833,2.181
11.131,2.206
11.429,2.233
11.726,2.264
12.024,2.291
12.321,2.316
12.619,2.348
12.917,2.374
13.214,2.399
13.512,2.429
13.81,2.456
14.107,2.481
14.405,2.51
14.702,2.535
15.0,2.564
15.298,2.589
15.595,2.618
15.893,2.64
16.19,2.665
16.488,2.694
16.786,2.719
17.083,2.742
17.381,2.768
17.679,2.795
17.976,2.814
18.274,2.841
18.571,2.87
18.869,2.892
19.167,2.913
19.464,2.938
19.762,2.96
20.06,2.982
20.357,3.005
20.655,3.025
20.952,3.045
21.25,3.064
21.548,3.088
21.845,3.106
22.143,3.124
22.44,3.145
22.738,3.162
23.036,3.18
23.333,3.198
23.631,3.216
23.929,3.232
24.226,3.246
24.524,3.264
24.821,3.279
25.119,3.289
25.417,3.307
25.714,3.318
26.012,3.331
26.31,3.345
26.607,3.358
26.905,3.367
27.202,3.379
27.5,3.386
27.798,3.397
28.095,3.404
28.393,3.415
28.69,3.422
28.988,3.43
29.286,3.435
29.583,3.442
29.881,3.448
30.179,3.451
30.476,3.457
30.774,3.46
31.071,3.462
31.369,3.464
31.667,3.467
31.964,3.467
32.262,3.467
32.56,3.467
32.857,3.467
33.155,3.466
33.452,3.464
33.75,3.462
34.048,3.458
34.345,3.453
34.643,3.449
34.94,3.444
35.238,3.44
35.536,3.433
35.833,3.426
36.131,3.421
36.429,3.412
36.726,3.404
37.024,3.394
37.321,3.383
37.619,3.376
37.917,3.365
38.214,3.35
38.512,3.34
38.81,3.329
39.107,3.316
39.405,3.3
39.702,3.289
40.0,3.273
40.298,3.257
40.595,3.243
40.893,3.228
41.19,3.21
41.488,3.192
41.786,3.178
42.083,3.154
42.381,3.138
42.679,3.122
42.976,3.1
43.274,3.081
43.571,3.063
43.869,3.045
44.167,3.018
44.464,3.0
44.762,2.98
45.06,2.953
45.357,2.931
45.655,2.911
45.952,2.884
46.25,2.863
46.548,2.838
46.845,2.813
47.143,2.787
47.44,2.764
47.738,2.741
48.036,2.712
48.333,2.688
48.631,2.663
48.929,2.636
49.226,2.611
49.524,2.586
49.821,2.559
50.119,2.532
50.417,2.507
50.714,2.48
51.012,2.449
51.31,2.424
51.607,2.397
51.905,2.366
52.202,2.341
52.5,2.314
52.798,2.285
53.095,2.257
53.393,2.231
53.69,2.203
53.988,2.172
54.286,2.145
54.583,2.12
54.881,2.087
55.179,2.062
55.476,2.033
55.774,2.006
56.071,1.978
56.369,1.951
56.667,1.924
56.964,1.895
57.262,1.868
57.56,1.839
57.857,1.812
58.155,1.785
58.452,1.758
58.75,1.729
59.048,1.704
59.345,1.677
59.643,1.65
59.94,1.621
